City Name,News_Source,Country,Coordinates
Edinburgh,CNN,"City of Edinburgh, Alba / Scotland, United Kingdom","(55.9533456, -3.1883749)"
Hereford,CNN,"Hereford, Herefordshire, England, United Kingdom","(52.0553813, -2.7151735)"
Birmingham,CNN,"Birmingham, West Midlands Combined Authority, England, United Kingdom","(52.4796992, -1.9026911)"
Kent,CNN,"Kent, England, United Kingdom","(51.20707485, 0.7210361813401444)"
Worcester,CNN,"Worcester, Worcester County, Massachusetts, United States","(42.2625621, -71.8018877)"
Suffolk,CNN,"Suffolk, England, United Kingdom","(52.241001350000005, 1.0465716091328372)"
David,CNN,"David, Distrito de David, Chiriquí, Panamá","(8.4371469, -82.4286281)"
University,CNN,"University, Alafaya, Orange County, Florida, United States","(28.588779950000003, -81.19813446391356)"
San Francisco,CNN,"San Francisco, California, United States","(37.7792588, -122.4193286)"
New Haven,CNN,"New Haven, South Central Connecticut Planning Region, Connecticut, United States","(41.3082138, -72.9250518)"
Most,CNN,"Most, okres Most, Ústecký kraj, Česko","(50.5032737, 13.636112)"
Of,CNN,"Of, Trabzon, Karadeniz Bölgesi, 61830, Türkiye","(40.947642, 40.2694068)"
Chicago,CNN,"Chicago, Cook County, Illinois, United States","(41.8755616, -87.6244212)"
Washington,CNN,"Washington, District of Columbia, United States","(38.8950368, -77.0365427)"
Wyoming,CNN,"Wyoming, United States","(43.1700264, -107.568534)"
Virginia,CNN,"Virginia, United States","(37.1232245, -78.4927721)"
Maryland,CNN,"Maryland, United States","(39.5162401, -76.9382069)"
Michigan,CNN,"Michigan, United States","(43.6211955, -84.6824346)"
Florida,CNN,"Florida, United States","(27.7567667, -81.4639835)"
Missouri,CNN,"Missouri, United States","(38.7604815, -92.5617875)"
New York,CNN,"City of New York, New York, United States","(40.7127281, -74.0060152)"
Iowa,CNN,"Iowa, United States","(41.9216734, -93.3122705)"
Oregon,CNN,"Oregon, United States","(43.9792797, -120.737257)"
Oklahoma,CNN,"Oklahoma, United States","(34.9550817, -97.2684063)"
Elizabeth,CNN,"Elizabeth, Union County, New Jersey, United States","(40.6639916, -74.2107006)"
Columbia,CNN,Colombia,"(4.099917, -72.9088133)"
Donna,CNN,"Donna, Hidalgo County, Texas, 78537, United States","(26.1702082, -98.0522376)"
Colorado,CNN,"Colorado, United States","(38.7251776, -105.607716)"
Delaware,CNN,"Delaware, United States","(38.6920451, -75.4013315)"
Kansas,CNN,"Kansas, United States","(38.27312, -98.5821872)"
Montana,CNN,"Montana, United States","(47.3752671, -109.638757)"
Texas,CNN,"Texas, United States","(31.2638905, -98.5456116)"
Huntington,CNN,"Town of Huntington, Suffolk County, New York, United States","(40.868154, -73.425676)"
Brighton,CNN,"Brighton, East Sussex, England, BN1 1HH, United Kingdom","(50.8214626, -0.1400561)"
Boston,CNN,"Boston, Suffolk County, Massachusetts, United States","(42.3554334, -71.060511)"
San Jose,CNN,"San Jose, Santa Clara County, California, United States","(37.3361663, -121.890591)"
University,CNN,"University, Alafaya, Orange County, Florida, United States","(28.588779950000003, -81.19813446391356)"
Mission,CNN,"Mission, Hidalgo County, Texas, United States","(26.2159066, -98.3252932)"
Asia,CNN,Asia,"(51.2086975, 89.2343748)"
Novato,CNN,"Novato, Marin County, California, United States","(38.1061979, -122.5681191)"
San Francisco,CNN,"San Francisco, California, United States","(37.7792588, -122.4193286)"
Brigham,CNN,"Brigham, Brome-Missisquoi, Estrie, Québec, J2K 4V6, Canada","(45.2463988, -72.8454198)"
Radcliffe,CNN,"Radcliffe, Bury, Greater Manchester, England, M26 1AD, United Kingdom","(53.5593382, -2.3261546)"
Chicago,CNN,"Chicago, Cook County, Illinois, United States","(41.8755616, -87.6244212)"
Washington,CNN,"Washington, District of Columbia, United States","(38.8950368, -77.0365427)"
Wyoming,CNN,"Wyoming, United States","(43.1700264, -107.568534)"
